date,product_id,quantity_sold,total_sales
24-07-2024 15:11,6963,2,338.27
24-07-2024 15:04,6816,1,116.45
24-07-2024 10:12,6190,1,213.98
24-07-2024 08:03,6816,1,115.28
23-07-2024 12:02,31772,1,180.12
23-07-2024 08:42,6175,1,203.49
22-07-2024 18:09,6175,1,200.17
19-07-2024 11:59,31772,1,180.42
19-07-2024 06:51,6184,1,268.74
18-07-2024 11:31,6740,2,299.8
16-07-2024 16:42,6016,6,264.7
16-07-2024 10:36,6816,1,112
16-07-2024 10:04,6016,2,115.5
15-07-2024 16:44,6019,1,103.96
15-07-2024 10:36,6175,1,204.69
12-07-2024 15:51,27075,1,502.11
12-07-2024 09:18,6609,1,117.17
12-07-2024 07:22,6803,1,194.75
11-07-2024 18:20,6184,2,518.86
10-07-2024 20:26,6190,1,227
10-07-2024 19:53,6816,1,134.11
10-07-2024 15:43,6816,1,115.21
10-07-2024 15:20,6687,2,343.79
10-07-2024 13:39,6816,1,130.81
09-07-2024 16:26,6816,1,130.82
08-07-2024 15:48,6184,1,268.62
08-07-2024 14:50,6591,1,300.92
05-07-2024 16:01,6619,4,616.01
05-07-2024 16:01,6619,1,616.01
05-07-2024 12:43,6816,1,111.92
04-07-2024 17:28,6175,1,204.57
03-07-2024 15:59,6459,4,2246.88
02-07-2024 09:11,6609,1,109.96
01-07-2024 16:07,6021,25,806.95
27-06-2024 08:38,6016,2,107.42
26-06-2024 15:18,31772,1,185.93
25-06-2024 15:54,31772,1,177.02
25-06-2024 14:32,6609,3,291.76
25-06-2024 13:39,6459,1,258.91
25-06-2024 12:32,6190,1,217.95
25-06-2024 11:42,6021,1,43.88
25-06-2024 11:29,6175,1,206.72
24-06-2024 13:54,6459,2,500.41
21-06-2024 15:30,6816,2,206.39
21-06-2024 12:55,6021,1,55.44
20-06-2024 15:52,6619,1,471
20-06-2024 12:08,6816,1,118.47
20-06-2024 09:35,6687,1,160.18
19-06-2024 14:53,6609,2,244.2
19-06-2024 13:47,6021,2,75.7
19-06-2024 10:16,6790,1,567.03
